Order_ID,Order_Date,Customer_ID,Product,Category,Region,City,Quantity,Unit_Price,Discount_Pct,Discount_Amount,Revenue,Cost,Profit,Payment_Mode
ORD08576,2025-07-15,CUST1237,Dining Table,Furniture,East,Kolkata,4,22000,5.0,4400.0,83600.0,66854.48120885252,16745.51879114748,UPI
ORD03743,2024-11-20,CUST1380,Sneakers,Clothing,North,Jaipur,5,3000,10.0,1500.0,13500.0,9807.54858061852,3692.4514193814794,Credit Card
ORD06232,2025-10-27,CUST2611,Wallet,Accessories,South,Bangalore,7,1200,10.0,840.0,7560.0,5819.062854502493,1740.9371454975071,Cash
ORD05724,2025-11-02,CUST2599,Dining Table,Furniture,South,Bangalore,7,22000,10.0,15400.0,138600.0,93788.522322485,44811.477677514995,Credit Card
ORD08988,2025-07-23,CUST2758,Tablet,Electronics,North,Chandigarh,7,18000,10.0,12600.0,113400.0,76643.26952414558,36756.73047585442,
ORD06523,2025-02-02,CUST1610,Backpack,Accessories,South,Bangalore,4,1800,0.0,0.0,7200.0,4741.326596167465,2458.673403832535,UPI
ORD03150,2024-09-11,CUST2302,Office Chair,Furniture,South,Hyderabad,4,8500,5.0,1700.0,32300.0,25176.453459089353,7123.546540910647,UPI
ORD02877,2024-10-18,CUST1816,Jeans,Clothing,West,Mumbai,5,1800,5.0,450.0,8550.0,5723.974901025878,2826.0250989741216,Debit Card
ORD05915,2024-09-23,CUST1729,Wallet,Accessories,North,Delhi,5,1200,0.0,0.0,6000.0,4202.98607540182,1797.01392459818,Debit Card
ORD07745,2024-08-03,CUST2778,Jeans,Clothing,East,Kolkata,5,1800,0.0,0.0,9000.0,5860.598392116683,3139.4016078833174,Debit Card
ORD05701,2025-06-08,CUST1233,Microwave,Home Appliances,West,Goa,4,9000,15.0,5400.0,30600.0,20814.62334706608,9785.37665293392,Net Banking
ORD04690,2025-02-21,CUST1988,Desk,Furniture,South,Kochi,3,12000,5.0,1800.0,34200.0,21200.64413412928,12999.355865870719,UPI
ORD01781,2024-07-30,CUST2099,Sofa,Furniture,East,Patna,7,25000,10.0,17500.0,157500.0,108143.9772801099,49356.0227198901,Credit Card
ORD08905,2025-01-04,CUST2236,Electric Kettle,Home Appliances,South,Hyderabad,1,1800,0.0,0.0,1800.0,1034.0276789022444,765.9723210977556,Credit Card
ORD04360,2025-12-20,CUST1690,Jacket,Clothing,South,Bangalore,6,3500,0.0,0.0,21000.0,14986.973549947259,6013.026450052741,Debit Card
ORD07733,2025-03-11,CUST1798,Jeans,Clothing,West,Mumbai,7,1800,10.0,1260.0,11340.0,6952.398662965585,4387.601337034415,Net Banking
ORD03795,2024-07-21,CUST1800,Backpack,Accessories,East,Bhubaneswar,6,1800,10.0,1080.0,9720.0,5701.032718968869,4018.9672810311313,Cash
ORD03371,2025-09-18,CUST2117,Sofa,Furniture,South,Kochi,2,25000,10.0,5000.0,45000.0,30747.788123010494,14252.211876989506,Net Banking
ORD06014,2025-07-11,CUST1367,Headphones,Electronics,East,Guwahati,2,2500,15.0,750.0,4250.0,2866.0352043893286,1383.9647956106714,Net Banking
ORD05804,2024-01-24,CUST2359,Microwave,Home Appliances,South,Bangalore,2,9000,0.0,0.0,18000.0,11805.323446065824,6194.676553934176,Cash
ORD08779,2024-09-17,CUST1156,Jeans,Clothing,North,Delhi,5,1800,5.0,450.0,8550.0,5163.671823158584,3386.3281768414163,Debit Card
ORD09078,2024-03-26,CUST1370,Smartphone,Electronics,North,Delhi,7,25000,10.0,17500.0,157500.0,103214.1831814205,54285.81681857949,UPI
ORD03054,2025-04-03,CUST1497,T-Shirt,Clothing,East,Bhubaneswar,6,800,0.0,0.0,4800.0,3031.7393301016436,1768.2606698983564,Net Banking
ORD03289,2024-11-04,CUST1707,Smartphone,Electronics,North,Lucknow,7,25000,20.0,35000.0,140000.0,105752.79809143323,34247.20190856677,Credit Card
ORD02590,2025-01-08,CUST2999,Sofa,Furniture,South,Chennai,4,25000,15.0,15000.0,85000.0,54993.62035817597,30006.37964182403,Net Banking
ORD08058,2024-01-06,CUST2504,Jeans,Clothing,North,Chandigarh,6,1800,0.0,0.0,10800.0,8146.821673251678,2653.1783267483224,Credit Card
ORD04588,2024-04-22,CUST2902,Electric Kettle,Home Appliances,East,Bhubaneswar,1,1800,5.0,90.0,1710.0,1250.7361124728043,459.2638875271957,Cash
ORD00034,2024-06-29,CUST1606,Sneakers,Clothing,South,Bangalore,5,3000,5.0,750.0,14250.0,11329.931266988413,2920.068733011587,UPI
ORD06389,2024-02-04,CUST2276,Sofa,Furniture,North,Delhi,4,25000,5.0,5000.0,95000.0,75676.13511993378,19323.86488006622,UPI
ORD07195,2025-03-29,CUST1984,Jacket,Clothing,North,Delhi,5,3500,5.0,875.0,16625.0,10806.614725233725,5818.385274766275,Credit Card
ORD08378,2024-08-17,CUST1708,Air Fryer,Home Appliances,North,Lucknow,2,7000,10.0,1400.0,12600.0,7786.8906223393815,4813.1093776606185,Debit Card
ORD04817,2024-05-12,CUST1980,Vacuum Cleaner,Home Appliances,West,Mumbai,2,8500,10.0,1700.0,15300.0,9685.95238421215,5614.047615787849,UPI
ORD00901,2024-11-06,CUST1536,Laptop,Electronics,East,Kolkata,5,55000,15.0,41250.0,233750.0,174171.28214909032,59578.717850909685,Debit Card
ORD00766,2024-12-23,CUST1162,Sneakers,Clothing,West,Ahmedabad,1,3000,0.0,0.0,3000.0,2307.8456714238764,692.1543285761236,Debit Card
ORD07551,2024-10-05,CUST2880,Sneakers,Clothing,North,Delhi,7,3000,10.0,2100.0,18900.0,14458.32975939021,4441.67024060979,Credit Card
ORD00734,2025-08-31,CUST1445,Jacket,Clothing,East,Bhubaneswar,1,3500,0.0,0.0,3500.0,2617.993904229996,882.0060957700039,Net Banking
ORD05910,2024-03-18,CUST2175,Microwave,Home Appliances,West,Ahmedabad,7,9000,5.0,3150.0,59850.0,41326.92273813763,18523.077261862367,Debit Card
ORD00569,2024-10-06,CUST1916,Sunglasses,Accessories,South,Kochi,4,1500,10.0,600.0,5400.0,3708.040043200059,1691.9599567999412,Debit Card
ORD01255,2024-09-20,CUST2684,Smart Watch,Electronics,East,Bhubaneswar,1,6000,0.0,0.0,6000.0,3685.2473618505887,2314.7526381494113,Debit Card
ORD09602,2025-11-14,CUST1787,Wallet,Accessories,South,Bangalore,1,1200,5.0,60.0,1140.0,890.2687474397335,249.7312525602665,Debit Card
ORD03616,2025-10-27,CUST2393,Hoodie,Clothing,South,Kochi,7,2200,10.0,1540.0,13860.0,7933.194467707009,5926.805532292991,Net Banking
ORD08354,2025-11-17,CUST2526,T-Shirt,Clothing,East,Guwahati,3,800,10.0,240.0,2160.0,1431.4938686336636,728.5061313663364,Cash
ORD05318,2024-01-03,CUST2945,Bookshelf,Furniture,South,Bangalore,2,7000,0.0,0.0,14000.0,10741.180953655172,3258.819046344828,Credit Card
ORD00040,2024-02-23,CUST2002,Wallet,Accessories,West,Pune,1,1200,0.0,0.0,1200.0,757.9953725388124,442.0046274611876,Cash
ORD09202,2024-02-23,CUST1527,Smartphone,Electronics,East,Bhubaneswar,4,25000,15.0,15000.0,85000.0,58068.21841390389,26931.781586096113,Debit Card
ORD03393,2024-12-06,CUST2055,Hoodie,Clothing,South,Chennai,6,2200,10.0,1320.0,11880.0,8139.442761297023,3740.557238702977,UPI
ORD05441,2025-05-13,CUST1348,Desk,Furniture,South,Kochi,1,12000,0.0,0.0,12000.0,7658.211019930605,4341.788980069395,UPI
ORD03929,2024-08-13,CUST1142,Wallet,Accessories,South,Chennai,4,1200,10.0,480.0,4320.0,3195.6635911585677,1124.3364088414323,Cash
ORD01414,2024-03-05,CUST2251,Mixer Grinder,Home Appliances,South,Bangalore,2,4500,0.0,0.0,9000.0,6949.44600606665,2050.5539939333503,Debit Card
ORD05290,2024-09-02,CUST2495,Sofa,Furniture,North,Jaipur,2,25000,10.0,5000.0,45000.0,34548.177221099504,10451.822778900496,Debit Card
ORD09748,2025-06-07,CUST1270,Vacuum Cleaner,Home Appliances,South,Hyderabad,1,8500,5.0,425.0,8075.0,5448.220714757757,2626.7792852422426,UPI
ORD09161,2024-09-05,CUST1805,Vacuum Cleaner,Home Appliances,South,Hyderabad,4,8500,5.0,1700.0,32300.0,18447.266192863855,13852.733807136145,Debit Card
ORD05182,2025-11-08,CUST1317,Laptop,Electronics,South,Kochi,4,55000,5.0,11000.0,209000.0,125007.62178538533,83992.37821461467,Debit Card
ORD05124,2024-11-03,CUST1627,Headphones,Electronics,North,Chandigarh,4,2500,5.0,500.0,9500.0,6998.218062629861,2501.7819373701386,Credit Card
ORD06422,2024-11-04,CUST1633,Sneakers,Clothing,West,Mumbai,7,3000,5.0,1050.0,19950.0,11358.36499033139,8591.63500966861,Cash
ORD09437,2024-02-23,CUST1425,Electric Kettle,Home Appliances,East,Guwahati,7,1800,0.0,0.0,12600.0,8005.67678068442,4594.32321931558,UPI
ORD03127,2025-09-14,CUST2186,Wallet,Accessories,East,Patna,6,1200,5.0,360.0,6840.0,5309.156360431537,1530.843639568463,Credit Card
ORD08841,2025-05-21,CUST1275,Air Fryer,Home Appliances,North,Jaipur,4,7000,0.0,0.0,28000.0,18203.282225850995,9796.717774149005,Cash
ORD01958,2024-02-12,CUST2336,Bookshelf,Furniture,South,Chennai,1,7000,5.0,350.0,6650.0,4237.849719865957,2412.150280134043,Debit Card
ORD08970,2024-10-29,CUST1633,Phone Case,Accessories,West,Mumbai,1,600,10.0,60.0,540.0,382.35196834365405,157.64803165634595,Debit Card
ORD01184,2025-06-16,CUST2950,Desk,Furniture,East,Guwahati,1,12000,10.0,1200.0,10800.0,7654.923869932625,3145.076130067375,Net Banking
ORD09104,2024-02-25,CUST1682,Smart Watch,Electronics,North,Jaipur,7,6000,15.0,6300.0,35700.0,26592.356662714337,9107.643337285663,Debit Card
ORD04348,2025-06-12,CUST2947,Air Fryer,Home Appliances,North,Jaipur,4,7000,10.0,2800.0,25200.0,18423.856616590158,6776.1433834098425,Net Banking
ORD00252,2025-10-09,CUST2791,Wallet,Accessories,West,Ahmedabad,4,1200,15.0,720.0,4080.0,3239.510666590769,840.4893334092312,Credit Card
ORD01473,2025-06-07,CUST1721,Office Chair,Furniture,East,Bhubaneswar,6,8500,0.0,0.0,51000.0,31930.68923872678,19069.31076127322,Net Banking
ORD06224,2024-12-22,CUST2722,Wallet,Accessories,West,Goa,7,1200,5.0,420.0,7980.0,5337.612314838069,2642.3876851619307,Net Banking
ORD05358,2024-09-28,CUST1013,Mixer Grinder,Home Appliances,East,Guwahati,3,4500,10.0,1350.0,12150.0,7642.503575213406,4507.496424786594,Debit Card
ORD00097,2025-11-03,CUST1901,Belt,Accessories,North,Chandigarh,5,900,10.0,450.0,4050.0,2687.446321871839,1362.5536781281612,
ORD07809,2025-09-09,CUST1016,Jeans,Clothing,East,Bhubaneswar,5,1800,5.0,450.0,8550.0,4951.952236742598,3598.047763257402,Cash
ORD04793,2025-10-13,CUST2693,Phone Case,Accessories,East,Bhubaneswar,2,600,0.0,0.0,1200.0,760.3526777292785,439.6473222707215,Cash
ORD06484,2024-04-15,CUST2540,Sunglasses,Accessories,West,Mumbai,3,1500,20.0,900.0,3600.0,2824.5455196395274,775.4544803604726,Net Banking
ORD04170,2024-07-25,CUST2384,Air Fryer,Home Appliances,West,Ahmedabad,7,7000,5.0,2450.0,46550.0,29895.22924160766,16654.77075839234,Cash
ORD02393,2024-04-17,CUST2523,Laptop,Electronics,East,Patna,2,55000,5.0,5500.0,104500.0,81121.62248030436,23378.37751969564,Net Banking
ORD02445,2025-03-31,CUST1258,Microwave,Home Appliances,West,Ahmedabad,5,9000,5.0,2250.0,42750.0,32917.34707855644,9832.652921443558,Net Banking
ORD04885,2025-11-18,CUST1113,Belt,Accessories,South,Hyderabad,1,900,20.0,180.0,720.0,534.5454151752964,185.4545848247036,UPI
ORD01609,2024-03-26,CUST2239,Sneakers,Clothing,East,Bhubaneswar,5,3000,10.0,1500.0,13500.0,9786.011488149263,3713.9885118507373,Debit Card
ORD00108,2024-05-09,CUST2434,Phone Case,Accessories,South,Hyderabad,4,600,10.0,240.0,2160.0,1562.7321600122343,597.2678399877657,UPI
ORD09878,2024-11-02,CUST2763,Sneakers,Clothing,East,Guwahati,2,3000,15.0,900.0,5100.0,3283.1924748051224,1816.8075251948776,Debit Card
ORD01218,2025-10-23,CUST1404,Sunglasses,Accessories,North,Delhi,4,1500,0.0,0.0,6000.0,3339.446590027003,2660.553409972997,Credit Card
ORD07493,2024-06-23,CUST1865,T-Shirt,Clothing,South,Bangalore,3,800,10.0,240.0,2160.0,1266.0655502522595,893.9344497477405,
ORD00304,2025-10-07,CUST2274,Sneakers,Clothing,South,Hyderabad,2,3000,10.0,600.0,5400.0,3726.5948518235946,1673.4051481764054,UPI
ORD09240,2025-02-24,CUST2802,Phone Case,Accessories,West,Ahmedabad,5,600,10.0,300.0,2700.0,1889.857341859045,810.1426581409551,Cash
ORD02475,2025-05-03,CUST2822,Tablet,Electronics,South,Bangalore,1,18000,5.0,900.0,17100.0,10117.070719110836,6982.929280889164,Credit Card
ORD02336,2025-07-15,CUST1856,Phone Case,Accessories,East,Patna,7,600,5.0,210.0,3990.0,3158.518723059109,831.4812769408909,Credit Card
